text,label
Oh great another pointless sequel,negative
Not bad for a low budget film,positive
This cured my insomnia perfectly,negative
The acting wasn't terrible I suppose,positive
Finally a movie that respects the audience,positive
I've seen paint dry faster than this,negative
It had some moments between the boredom,negative
Surprisingly watchable despite the hype,positive
The director clearly never watched a good film,negative
About as exciting as watching grass grow,negative
A decent attempt at something original,positive
This makes other bad movies look good,negative
Not the worst thing I've ever seen,positive
The plot twist was visible from space,negative
Exceeded my incredibly low expectations,positive
